At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
Princeton Universit,"Research Software Engineer/Software Developer, Research Technician",Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,MATLAB's source control tools,,MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html),,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,"In-person lecture, Remote (online) practical","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
Carnegie Mellon-Software Engineering Institute,Research Software Engineer/Software Developer,Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,MATLAB's source control tools,,MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html),,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,In-person practical,"Official documentation, Institutional support (e.g. code clinics, RSE drop-in sessions)",
Massachusetts Institute of Technology,Postgraduate Masters student,Competent Practitioner,no,Novice,no,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,no,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",no,MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html),Source code development,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),In-person lecture,Online Q&A/Forums/Stack Overflow/MATLAB Central,no
The Dickens study,,Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Nothing to say,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",Nothing to say,MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html),Better operational pages,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),"In-person practical, Remote (online) practical",Official documentation,Don't have anything else to share
The Dickens study,"Postdoctoral Researcher / Research Fellow, Research Software Engineer/Software Developer",Expert,,Competent Practitioner,,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Nothing to say,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",Nothing to say,"Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",Better operational pages,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),"Remote (online) lecture, Remote (online) practical, Written tutorials",Third-party online guidance,Don't have anything else to share
The Dickens study,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Nothing to say,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",Nothing to say,"Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",Better operational pages,Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) lecture, Remote (online) practical",Third-party online guidance,Don't have anything else to share
The Dickens study,Postgraduate Masters student,Expert,,Expert,,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Nothing to say,"MATLAB's source control tools, GitKraken Client",Nothing to say,"Classes and Object-Oriented Programming, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)",Better operational pages,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),"Remote (online) practical, Written tutorials",Third-party online guidance,Don't have anything else to share
The Dickens study,Research Software Engineer/Software Developer,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Nothing to say,"MATLAB's source control tools, GitKraken Client",Nothing to say,"Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)",Better operational pages,,Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),"In-person practical, Remote (online) practical, Video tutorials",Online Q&A/Forums/Stack Overflow/MATLAB Central,Don't have anything else to share
The Dickens study,Research Software Engineer/Software Developer,Expert,,Competent Practitioner,,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Nothing to say,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",Nothing to say,"Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",Better operational pages,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,"Remote (online) practical, Written tutorials",Third-party online guidance,Don't have anything else to share
staff,"Research Software Engineer/Software Developer, Research Technician",Novice,"I'm still learning
",Competent Practitioner,,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) lecture, Remote (online) practical, Video tutorials","Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)","I hope you can contact me for deeper communication in the future

"
researcher,"Postgraduate Masters student, Postdoctoral Researcher / Research Fellow, Research Software Engineer/Software Developer",Competent Practitioner,,,,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,"Aware of and use outside MATLAB, Aware of but don't use",Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Custom toolbox development",,Already familiar with,,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),"In-person practical, Remote (online) practical","Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
staff,"Undergraduate student, Postgraduate Masters student, Postdoctoral Researcher / Research Fellow, Research Software Engineer/Software Developer",Novice,,Competent Practitioner,,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",,"Classes and Object-Oriented Programming, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) practical, Video tutorials",Online Q&A/Forums/Stack Overflow/MATLAB Central,
,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,"MATLAB's source control tools, GitKraken Client, GitHub Desktop",,"Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Remote (online) practical,"Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
